iter	Passed	Remaining
1487	2704	15471
1488	2706	15469
1489	2708	15468
1490	2710	15465
1491	2711	15463
1492	2713	15462
1493	2715	15462
1494	2717	15458
1495	2719	15456
1496	2720	15453
1497	2722	15451
1498	2723	15448
1499	2725	15444
1500	2726	15440
1501	2728	15436
1502	2730	15434
1503	2731	15431
1504	2733	15427
1505	2734	15423
1506	2736	15420
1507	2737	15417
1508	2740	15419
1509	2741	15416
1510	2743	15413
1511	2745	15411
1512	2747	15409
1513	2748	15407
1514	2750	15403
1515	2751	15399
1516	2753	15398
1517	2755	15395
1518	2756	15392
1519	2758	15391
1520	2761	15391
1521	2762	15390
1522	2764	15388
1523	2766	15385
1524	2768	15384
1525	2770	15382
1526	2771	15380
1527	2774	15381
1528	2775	15377
1529	2776	15372
1530	2780	15381
1531	2782	15380
1532	2784	15378
1533	2786	15377
1534	2787	15374
1535	2789	15371
1536	2791	15369
1537	2793	15368
1538	2795	15367
1539	2796	15364
1540	2798	15361
1541	2800	15358
1542	2802	15359
1543	2804	15360
1544	2806	15359
1545	2808	15356
1546	2810	15355
1547	2811	15351
1548	2813	15348
1549	2814	15344
1550	2816	15340
1551	2817	15338
1552	2820	15338
1553	2821	15336
1554	2823	15334
1555	2825	15331
1556	2827	15330
1557	2828	15327
1558	2830	15325
1559	2832	15323
1560	2833	15320
1561	2835	15318
1562	2837	15315
1563	2838	15313
1564	2840	15311
1565	2842	15309
1566	2844	15305
1567	2845	15302
1568	2847	15299
1569	2848	15296
1570	2850	15292
1571	2851	15290
1572	2853	15289
1573	2855	15286
1574	2857	15283
1575	2858	15279
1576	2860	15277
1577	2862	15275
1578	2863	15273
1579	2865	15272
1580	2867	15269
1581	2869	15267
1582	2870	15263
1583	2872	15260
1584	2873	15257
1585	2875	15254
1586	2877	15251
1587	2878	15248
1588	2880	15247
1589	2882	15245
1590	2883	15242
1591	2885	15240
1592	2887	15237
1593	2889	15236
1594	2890	15232
1595	2892	15229
1596	2893	15226
1597	2895	15223
1598	2897	15221
1599	2898	15218
1600	2900	15216
1601	2902	15215
1602	2904	15212
1603	2905	15209
1604	2907	15205
1605	2908	15203
1606	2910	15200
1607	2912	15199
1608	2914	15196
1609	2915	15194
1610	2917	15192
1611	2919	15191
1612	2921	15188
1613	2922	15185
1614	2924	15182
1615	2926	15180
1616	2927	15178
1617	2929	15175
1618	2931	15173
1619	2932	15170
1620	2934	15170
1621	2936	15166
1622	2937	15162
1623	2939	15161
1624	2940	15157
1625	2942	15154
1626	2944	15150
1627	2945	15147
1628	2947	15145
1629	2949	15143
1630	2950	15139
1631	2952	15136
1632	2953	15133
1633	2955	15130
1634	2956	15127
1635	2958	15126
1636	2960	15122
1637	2961	15119
1638	2965	15126
1639	2966	15124
1640	2968	15122
1641	2970	15120
1642	2972	15117
1643	2973	15114
1644	2975	15111
1645	2977	15110
1646	2978	15108
1647	2980	15105
1648	2981	15101
1649	2983	15099
1650	2985	15097
1651	2987	15095
1652	2988	15092
1653	2990	15089
1654	2992	15087
1655	2993	15085
1656	2995	15083
1657	2997	15080
1658	2998	15077
1659	3000	15074
1660	3002	15072
1661	3003	15068
1662	3005	15068
1663	3007	15064
1664	3008	15061
1665	3010	15059
1666	3012	15057
1667	3013	15054
1668	3015	15052
1669	3017	15049
1670	3019	15048
1671	3020	15045
1672	3022	15043
1673	3023	15039
1674	3025	15037
1675	3027	15034
1676	3028	15032
1677	3030	15028
1678	3032	15030
1679	3034	15027
1680	3035	15024
1681	3037	15022
1682	3039	15019
1683	3040	15016
1684	3042	15013
1685	3044	15012
1686	3045	15008
1687	3047	15006
1688	3049	15004
1689	3051	15004
1690	3052	15001
1691	3054	14999
1692	3056	14997
1693	3058	14995
1694	3060	14993
1695	3061	14991
1696	3063	14988
1697	3065	14988
1698	3067	14986
1699	3068	14982
1700	3070	14979
1701	3072	14978
1702	3074	14976
1703	3075	14973
1704	3077	14971
1705	3078	14968
1706	3080	14965
1707	3082	14963
1708	3083	14960
1709	3085	14959
1710	3087	14957
1711	3089	14958
1712	3091	14956
1713	3093	14954
1714	3095	14951
1715	3097	14952
1716	3098	14949
